Accession,E2vE3_Fold_change,E4vE3_Fold_change
A0A1W2P872,0.0052711606166181,-0.0242961735152403
A1L3P4,0.0722838100924675,-0.0507962688687201
A2A432,0.0545202639654729,0.0222786296461652
A2A5R2,0.0281967688170976,0.0049621766618099
A2A699,0.049972732674452,0.0457844307593109
A2AB59,-0.0758528061357979,
A2ADY9,-0.0314014301273618,-0.0142338692621013
A2AG50,-0.0003581382829779,0.0142498273890939
A2AGT5,-0.0134626810200449,0.0126004849959588
A2AHC3,-0.141492684759001,-0.1442247891864017
A2AJI0,-0.0292910841779531,-0.0296736870154573
A2ALS5,0.0474159588598431,0.0577208815083779
A2ALU4,0.0772924604928902,0.063050221472705
A2AN08,0.0898029535889459,0.0133876463756054
A2AP18,0.0592671353311647,-0.0321537803100796
A2AQ07,0.0352817937807315,0.0707195644144491
A2AQ19,0.2512552164393806,
A2ARP1,-0.0251397708850543,0.0318130891036224
A2AWA9,-0.0132900927431014,0.0364856373074124
A2BDX3,0.1064071681674841,-0.0206178669010977
A2RSJ4,0.0264807554480173,0.0759661103248567
A2RT62,0.0470343237469131,0.0239487590836712
A2RT91,-0.385330064009953,0.2723560669491471
A3KMP2,-0.108125440029439,0.0246111593521059
A6H5Z3,0.1289478112926416,-0.0368423512106733
A6H630,-0.0013483696134948,0.049308408845852
B0V2N1,0.0766978130173342,-0.0998464695864865
B1AVZ0,0.0902405063731676,-0.1418839668031457
B1AWN6,0.0696523143437379,-0.0466524536662494
B1AY13,0.0647386272600366,0.0484238974391165
B1AZP2,-0.0736991228072828,-0.102474744518163
B2RQC6,0.0111943125949674,-0.0037233661763339
B2RR83,0.0565544047771058,
B2RRE7,-0.0696237439129687,
B2RSH2,-0.1239835999019577,-0.2107815573456491
B2RUJ5,-0.085097513326215,-0.1290233224156878
B2RUR8,-0.0155938548621223,-0.1380124984503319
B2RXC1,-0.0502547012283806,0.0468422359664412
B2RXS4,0.3622413097479196,-0.0548662990063675
B9EJA2,-0.0059181278266238,0.0097427158384801
B9EKR1,-0.034726484836644,0.0230840846382988
D3YUB6,-0.0548114612720494,0.0238205184308348
D3YVF0,-0.0233255056685075,-0.0447579188862837
